"THETA1","THETA2","THETA3","THETA4","THETA5","THETA6","THETA7","THETA8","SIGMA.1.1.","OMEGA.1.1.","OMEGA.2.1.","OMEGA.2.2.","OMEGA.3.1.","OMEGA.3.2.","OMEGA.3.3.","OBJ","WEIGHT"
0.438826,4.12448,1.15145,4.21035,1.2897,0.515628,0.011994,0.321307,0.0389847,0.29434,0.0740178,0.0714046,0.131545,0.069698,0.125923,30915.6477524253,4.70324488431806
0.386401,4.1154,1.15272,4.23699,1.27686,0.536599,0.00430099,0.338571,0.0404926,0.213133,0.0285025,0.0785722,0.104879,0.0670243,0.121196,30919.3039301234,4.42112402008661
0.455442,4.09411,1.16702,4.2022,1.26288,0.502722,-0.0532619,0.366776,0.0407724,0.283409,0.0920602,0.094221,0.148755,0.0779804,0.12107,30911.709541644,2.22563914955504
0.468696,4.16594,1.20881,4.19586,1.29013,0.545994,0.0170725,0.349176,0.039611,0.223578,0.0779324,0.0821607,0.116088,0.0586116,0.0840757,30932.3885500362,0.0359211673516534
0.324476,4.05045,1.13839,4.2353,1.31299,0.484899,-0.043804,0.511573,0.0391237,0.219346,0.0709851,0.0908306,0.0970073,0.0745593,0.120258,30918.2452998962,1.5102221867769
0.440924,4.1658,1.19257,4.21128,1.23327,0.569105,-0.0962627,0.458461,0.0399399,0.191674,0.0641871,0.0763035,0.111669,0.0570359,0.103846,30920.2903461517,1.93491634716046
0.408911,4.12066,1.19134,4.21618,1.32343,0.494692,-0.0531521,0.440254,0.0402753,0.291712,0.102818,0.0907914,0.132845,0.0713628,0.104413,30913.7365369533,1.37288196817639
0.584495,4.1407,1.21346,4.22076,1.2174,0.50196,0.0487659,0.39459,0.041474,0.23048,0.104464,0.100059,0.153629,0.0895159,0.135387,30925.6251420365,0.484662137198079
0.446719,4.15327,1.16172,4.21351,1.21444,0.44778,-0.0945954,0.385752,0.0415775,0.243529,0.0621494,0.075923,0.137727,0.0673272,0.104928,30921.5744063225,3.64598238168474
0.415723,4.08514,1.15265,4.22375,1.25875,0.463795,0.0390529,0.291896,0.0426913,0.170951,0.0162181,0.0583233,0.107901,0.0508309,0.100835,30934.3541239165,0.021056201699563
0.461535,4.10889,1.13441,4.19404,1.2657,0.505224,-0.0670018,0.36873,0.0390678,0.176151,0.040082,0.0699701,0.104794,0.0592273,0.106686,30911.9580971383,0.75714445309953
0.288351,4.06845,1.13174,4.20273,1.33582,0.488129,-0.0769908,0.430541,0.0413861,0.139094,0.0638391,0.0864706,0.125095,0.0876896,0.141091,30926.7712430026,0.275529742579835
0.386691,4.13836,1.14268,4.20868,1.22004,0.476641,-0.0953928,0.576385,0.0404687,0.265676,0.0583687,0.0844324,0.119119,0.0706407,0.120758,30921.1266327499,8.78900858624782
0.493379,4.10967,1.16491,4.22089,1.28944,0.484903,-0.0112401,0.468347,0.040971,0.213316,0.0674159,0.0938107,0.114035,0.0691153,0.106989,30911.8881957671,3.77354825905707
0.469336,4.11367,1.18411,4.20813,1.28247,0.500378,0.0268788,0.410864,0.041508,0.215509,0.0443802,0.0721815,0.110226,0.0648638,0.116518,30911.4654814747,0.755742633457846
0.549109,4.1224,1.19547,4.2065,1.29033,0.406855,-0.00872524,0.309394,0.0413774,0.236848,0.0478462,0.0748215,0.127949,0.0679142,0.116689,30918.2373323566,1.80628325400529
0.369134,4.09283,1.17264,4.23382,1.28636,0.470399,-0.0138911,0.400792,0.0390918,0.21158,0.0634182,0.0798222,0.0985341,0.0719235,0.107141,30915.4881243638,0.587738927402812
